Time,Country Name,medal
2004,Australia,16.5
2004,Azerbaijan,1.17
2004,Belarus,4.17
2004,Brazil,3.5
2004,Bulgaria,2.83
2004,Canada,4
2004,China,24
2004,Croatia,1.5
2004,Cuba,8.67
2004,Czech Rep.,2.17
2004,Denmark,2
2004,Ethiopia,2.33
2004,France,10.67
2004,Germany,15.33
2004,Greece,5.67
2004,Hungary,6.5
2004,Iran,2
2004,Italy,10.5
2004,Jamaica,1.67
2004,Japan,13
2004,Kazakhstan,2.33
2004,Kenya,2.17
2004,Netherlands,6.5
2004,New Zealand,2.17
2004,Dem. REP. Korea,1.5
2004,Norway,2.67
2004,Poland,3
2004,Portugal,0.83
2004,Romania,6.67
2004,Russia,28.83
2004,South Africa,1.83
2004,Korea,10
2004,Spain,6
2004,Sweden,2.67
2004,Switzerland,1.33
2004,Turkey,3.17
2004,Ukraine,7.67
2004,United Arab Emirates,0.5
