Time,Country Name,medal,Fixed telephone subscriptions (per 100 people) [IT.MLT.MAIN.P2],Internet users (per 100),Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],info,Population_total,Labor_female,Life_exp,Health_exp,GDP_per_cap,GDP_PPP,"GNI per capita, PPP (constant 2011 international $) [NY.GNP.PCAP.PP.KD]","GNI, PPP (constant 2011 international $) [NY.GNP.MKTP.PP.KD]",rail_lines,Land area (sq. km) [AG.LND.TOTL.K2],connectivity,cpi,sexratio,hdi,communism,soviet,homeadvantage
2000,Australia,19.17,50,0.27,21.76,23.99,18311000,53.8,78.08,15.11,31166.63,5.71E+11,30192.74,5.53E+11,20802.73,7682300,0.06,86,0.99,0.89,0,0,1
2000,Azerbaijan,1.17,8.22,3.05,0.22,3.79,7763000,56.9,64.99,8.43,3329.13,25844073485,3341.54,25940363769,20802.73,83217,0.06,0,0.96,0.61,0,0,0
2000,Belarus,4.33,20.95,33.85,0.06,6.94,10160000,54.99,68.51,11.46,5623.24,57132117809,5645.2,57355185856,20802.73,202840,0.06,0,0.88,0.66,0,0,0
2000,Brazil,3,9.19,3.28,1.52,4.63,164913306,52.36,68.11,8.04,11137.34,1.84E+12,10846.75,1.79E+12,4651,8358140,0,29.6,0.98,0.66,0,0,0
2000,Bulgaria,4.83,32,9.65,0.32,13.85,8362826,49.42,70.9,7.39,8625.7,72135242924,8343.78,69777578584,3979,110630,0.04,0,0.96,0.7,0,1,0
2000,Canada,3.83,60.75,0.45,11.82,24.22,29671900,56.78,78.23,13.35,32394.58,9.61E+11,31354.64,9.30E+11,20802.73,9093510,0.06,89.6,0.98,0.86,0,0,0
2000,China,21.83,4.4,1.33,0.55,2.08,1217550000,72.55,70.2,15.9,2789.25,3.40E+12,27296.71,1.27E+12,56000,9388230,0.01,24.3,1.06,0.56,1,0,0
2000,Croatia,0.67,29.89,0.59,1.4,10.53,4494000,45.46,72.37,13.09,13886.53,62406051959,13846.74,62227232846,2480.66,55980,0.04,0,0.94,0.71,0,0,0
2000,Cuba,10.33,3.24,0.86,0.02,1.36,10961012,36.55,75.68,9.29,27039.27,1.51E+12,27296.71,1.27E+12,4667,107400,0.04,0,1.01,0.67,1,0,0
2000,Czech Republic,2.5,27.28,0.03,1.94,9.67,10315241,51.75,73.71,13.95,20061.26,2.07E+11,19784.81,2.04E+11,9435,77270,0.12,53.7,0.95,0.8,0,0,0
2000,Denmark,2.17,61.87,8.04,25.06,31.59,5263074,58.17,75.59,11.49,38101.41,2.01E+11,37650.62,1.98E+11,2349,42430,0.06,93.3,0.98,0.84,0,0,0
2000,Ethiopia,2.83,0.25,0.33,0,0.19,59155148,71.4,49.81,7.01,626.11,37037504562,27296.71,1.27E+12,20802.73,1000000,0.06,0,0.99,0,0,0,0
2000,France,13,56.51,1.4,4.23,20.55,59753098,48.09,77.95,14.82,31250.3,1.87E+12,31550.82,1.89E+12,31700,547566,0.06,69.6,0.96,0.83,0,0,0
2000,Germany,16.5,52.88,5.71,6.61,21.59,81914831,48.14,76.67,16.59,33830.31,2.77E+12,33807.57,2.77E+12,40826,349090,0.12,82.7,0.95,0.84,0,1,0
2000,Greece,4.5,49.53,9.04,4.94,21.01,10608800,37.82,77.69,9.59,21759.06,2.31E+11,22201.71,2.36E+11,2474,128900,0.02,50.1,0.98,0.78,0,0,0
2000,Hungary,6.5,25.65,0.1,4.58,10.05,10311238,39.97,70.33,11.25,15271,1.57E+11,14699.53,1.52E+11,7768,89860,0.09,48.6,0.91,0.75,0,1,0
2000,Iran,1.67,9.48,0.12,0.1,3.2,61583089,10.63,68.72,7.45,11396.25,7.02E+11,11244.77,6.92E+11,5612,1628760,0,0,1.03,0.64,0,0,0
2000,Italy,11.33,44.36,0.01,11.28,18.48,56860281,33.99,78.52,9.85,33569.06,1.91E+12,33237.71,1.89E+12,16014,294110,0.05,34.2,0.94,0.81,0,0,0
2000,Jamaica,2.33,14.38,0.03,2.2,5.5,2561993,64.74,71.97,6.05,8357.46,21411759371,27296.71,1.27E+12,20802.73,10830,0.06,0,0.98,0.68,0,0,0
2000,Japan,6,51.31,0.19,21.56,24.33,125757000,50.07,80.2,14.46,33345.86,4.19E+12,33763.82,4.25E+12,20802.73,364500,0.06,70.5,0.96,0.84,0,0,0
2000,Kazakhstan,2.83,12.51,1.94,0.06,4.79,15577894,63.03,64.11,13.95,8451.4,1.32E+11,8625.66,1.34E+11,20802.73,2699700,0.06,0,0.93,0.67,0,0,0
