Year,Country Name,Medal,Population,Life Expectancy,Health Expenditure,GDP Per Capita,GDP PPP,Connectivity,CPI,HDI,Communism,Soviet,Home Advantage
2000,Australia,19.17,18311000,78.08,15.11,31166.63,5.71E+11,0.06,86,0.89,0,0,1
2000,Azerbaijan,1.17,7763000,64.99,8.43,3329.13,25844073485,0.06,0,0.61,0,0,0
2000,Belarus,4.33,10160000,68.51,11.46,5623.24,57132117809,0.06,0,0.66,0,0,0
2000,Brazil,3,164913306,68.11,8.04,11137.34,1.84E+12,0,29.6,0.66,0,0,0
2000,Bulgaria,4.83,8362826,70.9,7.39,8625.7,72135242924,0.04,0,0.7,0,1,0
2000,Canada,3.83,29671900,78.23,13.35,32394.58,9.61E+11,0.06,89.6,0.86,0,0,0
2000,China,21.83,1217550000,70.2,15.9,2789.25,3.40E+12,0.01,24.3,0.56,1,0,0
2000,Croatia,0.67,4494000,72.37,13.09,13886.53,62406051959,0.04,0,0.71,0,0,0
2000,Cuba,10.33,10961012,75.68,9.29,27039.27,1.51E+12,0.04,0,0.67,1,0,0
2000,Czech Republic,2.5,10315241,73.71,13.95,20061.26,2.07E+11,0.12,53.7,0.8,0,0,0
2000,Denmark,2.17,5263074,75.59,11.49,38101.41,2.01E+11,0.06,93.3,0.84,0,0,0
2000,Ethiopia,2.83,59155148,49.81,7.01,626.11,37037504562,0.06,0,0,0,0,0
2000,France,13,59753098,77.95,14.82,31250.3,1.87E+12,0.06,69.6,0.83,0,0,0
2000,Germany,16.5,81914831,76.67,16.59,33830.31,2.77E+12,0.12,82.7,0.84,0,1,0
2000,Greece,4.5,10608800,77.69,9.59,21759.06,2.31E+11,0.02,50.1,0.78,0,0,0
2000,Hungary,6.5,10311238,70.33,11.25,15271,1.57E+11,0.09,48.6,0.75,0,1,0
2000,Iran,1.67,61583089,68.72,7.45,11396.25,7.02E+11,0,0,0.64,0,0,0
2000,Italy,11.33,56860281,78.52,9.85,33569.06,1.91E+12,0.05,34.2,0.81,0,0,0
2000,Jamaica,2.33,2561993,71.97,6.05,8357.46,21411759371,0.06,0,0.68,0,0,0
2000,Japan,6,125757000,80.2,14.46,33345.86,4.19E+12,0.06,70.5,0.84,0,0,0
2000,Kazakhstan,2.83,15577894,64.11,13.95,8451.4,1.32E+11,0.06,0,0.67,0,0,0
2000,Kenya,2.33,28147734,53.4,7.27,2230.37,62779801265,0,22.1,0.46,0,0,0
2000,Netherlands,9.67,15530498,77.44,10.99,35837.03,5.57E+11,0.08,87.1,0.87,0,0,0
2000,New Zealand,1.33,3732000,76.79,13.25,26173.77,97680497481,0.01,94.3,0.86,0,0,0
2000,North Korea,0.83,22113548,65.12,12.84,27039.27,1.51E+12,0.06,0,0.79,1,0,0
2000,Norway,3.5,4381336,78.15,13.48,52322.08,2.29E+11,0.06,88.7,0.89,0,0,0
2000,Poland,0,38624370,72.25,8.28,11975.56,4.63E+11,0.07,55.7,0.75,0,1,0
2000,Portugal,5.17,10063945,75.26,11.65,22529.92,2.27E+11,0.03,65.3,0.77,0,0,0
2000,Romania,8.83,22619004,69.1,7.14,10985.71,2.48E+11,0.05,0,0.69,0,1,0
2000,Russia,30,148160042,65.85,8.75,12370.1,1.83E+12,0.01,25.8,0.7,0,1,0
2000,South Africa,1.17,42210216,60.61,13.82,9394.68,3.97E+11,0.02,56.8,0.65,0,0,0
2000,South Korea,9,45524681,73.83,6.97,17655.53,8.04E+11,0.03,50.2,0.79,0,0,0
2000,Spain,3.33,39889852,78.12,12.5,25614.39,1.02E+12,0.02,43.1,0.81,0,0,0
2000,Sweden,4.17,8840998,78.96,11.33,31498.44,2.78E+11,0.02,90.8,0.86,0,0,0
2000,Switzerland,2.83,7071850,78.9,15.02,45932.44,3.25E+11,0.08,87.6,0.85,0,0,0
2000,Turkey,1.83,59423208,67.59,10.05,13010.26,7.73E+11,0.01,35.4,0.61,0,0,0
2000,Ukraine,0,51057189,66.89,11.42,4594.43,2.35E+11,0.04,0,0.66,0,0,0
2000,United Arab Emirates,6.5,2571020,73.38,7.13,102338.74,2.63E+11,0.06,0,0.77,0,0,0
2000,United Kingdom,10,58166950,77.09,13.43,29267.11,1.70E+12,0.07,84.4,0.84,0,0,0
2000,United States,33.5,269394000,76.03,16.17,40500.8,1.09E+13,0.02,76.6,0.88,0,0,0
2004,Australia,16.5,19153000,79.23,16,35281.4,6.76E+11,0,83,0.9,0,0,0
2004,Azerbaijan,1.17,8048600,66.76,5.35,4459,35888694708,0.03,15,0.64,0,0,0
2004,Belarus,4.17,9979610,68.91,10.09,7562.88,75474631722,0.03,41,0.68,0,0,0
2004,Brazil,3.5,175287587,70.04,4.08,11370.73,1.99E+12,0.06,39,0.69,0,0,0
2004,Bulgaria,2.83,8170172,71.66,9,8958.05,73188814237,0.04,35,0.71,0,1,0
2004,Canada,4,30769700,79.24,15.07,37431.92,1.15E+12,0.06,92,0.87,0,0,0
2004,China,24,1262645000,71.73,10.82,3700.74,4.67E+12,0.01,31,0.59,1,0,0
2004,Croatia,1.5,4426000,72.81,13.02,15745.22,69688355876,0.05,37,0.75,0,0,0
2004,Cuba,8.67,11150736,76.64,10.8,27039.27,1.51E+12,0.06,0,0.69,1,0,0
